Date,Location,Band_Number,Species,Sex,Weight,RFID
11/23/18,Pioneers Park Nature Center,2750-11092,RBNU,M,10.6,011016B1E9
11/23/18,Pioneers Park Nature Center,2750-11091,RBNU,U,12.2,011016B914
11/23/18,Pioneers Park Nature Center,2750-11093,RBNU,F,10.6,011016BC8D
10/6/18,Pioneers Park Nature Center,2781-71202,RBNU,M,11.2,011016BDEC
11/4/18,Pioneers Park Nature Center,2781-71210,BCCH,U,12.4,011016CC59
11/23/18,Pioneers Park Nature Center,2781-71215,BCCH,U,14,011016EDC4
10/13/18,Pioneers Park Nature Center,1901-59331,DOWO,M,27,011016FD8E
10/27/18,Pioneers Park Nature Center,2781-71207,WBNU,M,21,011016FE79
11/4/18,Pioneers Park Nature Center,1901-59332,WBNU,F,20,01101706AD
10/6/18,Pioneers Park Nature Center,2781-71203,RBNU,U,10.7,01101712F8
11/23/18,Pioneers Park Nature Center,1901-59334,DOWO,M,27,011017171D
10/6/18,Pioneers Park Nature Center,1901-59328,DOWO,F,50,0110172D57
11/23/18,Pioneers Park Nature Center,2781-71211,WBNU,M,21,0110173C26
9/30/17,Pioneers Park Nature Center,2621-50221,WBNU,F,20,0110175F3E
11/23/18,Pioneers Park Nature Center,2750-11094,RBNU,M,11.5,01103F6EC0
3/10/18,Pioneers Park Nature Center,1901-59315,DOWO,M,27,0700EDFFDB
11/4/17,Pioneers Park Nature Center,2621-50215,DOWO,M,24,0700EE08C5
10/15/17,Pioneers Park Nature Center,1901-59055,DOWO,F,27,0700EE1ECE
3/3/18,Pioneers Park Nature Center,1901-59312,WBNU,M,19,0700EE315A
3/10/18,Pioneers Park Nature Center,1901-59313,WBNU,U,19,0700EE3187
11/23/18,Pioneers Park Nature Center,2750-11088,BCCH,U,13.4,011016AC95
11/23/18,Pioneers Park Nature Center,2781-71214,WBNU,F,23,011016BF63
11/4/18,Pioneers Park Nature Center,2750-11099,BCCH,U,13.2,011016CE84
11/4/18,Pioneers Park Nature Center,2750-11098,BCCH,NA,12.4,011016D383
5/5/18,Pioneers Park Nature Center,1372-31185,RBWO,F,90.5,0110170897
11/4/18,Pioneers Park Nature Center,1901-59333,DOWO,F,27,0110170BCF
5/5/18,Pioneers Park Nature Center,1901-59322,DOWO,M,28,0110170F15
10/6/18,Pioneers Park Nature Center,1901-59323,WBNU,M,18,0110171671
3/10/18,Pioneers Park Nature Center,1372-31199,RBWO,M,86,0110172507
10/13/18,Pioneers Park Nature Center,1901-59329,DOWO,M,28,0110173577
11/23/18,Pioneers Park Nature Center,1901-59024,WBNU,M,21,01101736BA
10/13/18,Pioneers Park Nature Center,1901-59330,DOWO,M,26,011017396E
11/23/18,Pioneers Park Nature Center,1901-59337,DOWO,M,29,0110173E3A
10/27/18,Pioneers Park Nature Center,1901-59325,WBNU,F,21,01101747D3
11/23/18,Pioneers Park Nature Center,1901-59336,DOWO,F,29,01101748C7
10/6/18,Pioneers Park Nature Center,1901-59325,WBNU,F,44,0110174B57
10/15/17,Pioneers Park Nature Center,1901-59052,DOWO,M,24.6,0700EDA0C9
2/18/18,Pioneers Park Nature Center,1901-59311,DOWO,M,26,0700EE1540
11/4/17,Pioneers Park Nature Center,1901-59309,WBNU,F,19,0700EE257D
5/5/18,Pioneers Park Nature Center,1901-59054,DOWO,F,28.5,0700EE27B1
10/6/18,Pioneers Park Nature Center,1901-59326,WBNU,M,21.5,011016B9B5
10/13/18,Pioneers Park Nature Center,2781-71206,RBNU,F,21,011016E2E6
5/5/18,Pioneers Park Nature Center,1901-59039,DOWO,M,28,0110173043
10/15/17,Pioneers Park Nature Center,1901-59029,DOWO,F,24.5,0700EDE823
5/5/18,Pioneers Park Nature Center,1901-59320,DOWO,M,31.5,0110173FFA
