Date,Time,Location,Band_Prefix,Band_Suffix,Band_Number,Species,Recap,Age,How_Aged,Sex,How_Sexed,Wing,Bird_and_bag,Bag,Weight,Tarsus,Culmen,RFID,Notes,Add_cap_date,Add_cap_time,Add_cap_date_2
11/6/16,8:33,Bird Garden,2750,11006,2750-11006,BCCH,Yes,,NA,,NA,69,14.2,0,14.2,18.9,8.6,01101757B6,,NA,NA,NA
11/6/16,8:33,Bird Garden,2750,11008,2750-11008,BCCH,,,NA,,NA,70,12.7,0,12.7,15.9,6.7,01101766D3,,NA,NA,NA
11/12/16,9:41,Bird Garden,2750,11023,2750-11023,BCCH,,,NA,,NA,62,12.5,0,12.5,16,7.9,110175497,,NA,NA,NA
11/12/16,9:41,Bird Garden,2750,11024,2750-11024,BCCH,,,NA,,NA,66,12.2,0,12.2,17,7.3,01101755A2,,NA,NA,NA
10/15/17,10:30,Pioneers Park Nature Center,2770,25707,2770-25707,BCCH,N,AHY,PLUMAGE,U,NA,77,NA,NA,11.8,16.7,8.4,011016E472,,NA,NA,NA
10/15/17,10:45,Pioneers Park Nature Center,2770,25708,2770-25708,BCCH,N,U,NA,U,NA,64,34.6,24.8,9.8,16.9,17.5,011016F870,,NA,NA,NA
11/4/17,9:24,Pioneers Park Nature Center,2621,50246,2621-50246,BCCH,N,U,NA,U,NA,70,37,25,12,16.4,7.5,011016D174,,NA,NA,NA
2/18/18,10:00,Pioneers Park Nature Center,2770,25709,2770-25709,BCCH,N,NA,NA,NA,NA,61,37,23,14,16.8,9,011016F937,,3/10/18,9:30,NA
2/18/18,11:40,Pioneers Park Nature Center,2621,50267,2621-50267,BCCH,N,SY,NA,NA,NA,63,36,23.5,12.5,17,7.6,011016A583,,NA,NA,NA
2/18/18,11:46,Pioneers Park Nature Center,2621,50268,2621-50268,BCCH,N,SY,NA,U,NA,67,13.5,0,13.5,16.4,8.2,011016D452,,NA,NA,NA
2/18/18,NA,Pioneers Park Nature Center,2621,50266,2621-50266,BCCH,N,ASY,NA,NA,NA,69,37,23.5,13.5,17.8,7.9,011016F6C1,,NA,NA,NA
2/18/18,NA,Pioneers Park Nature Center,2621,50261,2621-50261,BCCH,N,NA,NA,NA,NA,65,33,21,12,16.5,8.4,011016F878,,NA,NA,NA
10/13/18,9:28,Pioneers Park Nature Center,2781,71205,2781-71205,BCCH,N,U,NA,NA,NA,70,14.1,0,14.1,16.8,7.1,011016ADB7,,NA,NA,NA
11/4/18,NA,Pioneers Park Nature Center,2781,71210,2781-71210,BCCH,N,U,NA,U,NA,62,12.4,0,12.4,16,7.5,011016CC59,,NA,NA,NA
