"Date","RFID","Species","Sex","sumvisits","nightlows"
2019-01-27,"011016B9B5","WBNU","M",20,-6.72222222222222
2019-01-28,"011016B9B5","WBNU","M",1,-10.6111111111111
2019-01-29,"011016B9B5","WBNU","M",9,-18.8888888888889
2019-01-30,"011016B9B5","WBNU","M",33,-22.2222222222222
2019-01-31,"011016B9B5","WBNU","M",28,-17.7777777777778
2019-02-01,"011016B9B5","WBNU","M",19,-11.7222222222222
2019-02-02,"011016B9B5","WBNU","M",2,1.11111111111111
2019-02-04,"011016B9B5","WBNU","M",5,-12.2222222222222
2019-02-05,"011016B9B5","WBNU","M",2,-13.2777777777778
2019-02-06,"011016B9B5","WBNU","M",8,-13.2777777777778
2019-02-09,"011016B9B5","WBNU","M",11,-12.2222222222222
2019-02-10,"011016B9B5","WBNU","M",20,-3.27777777777778
2019-02-11,"011016B9B5","WBNU","M",3,-3.27777777777778
2019-02-15,"011016B9B5","WBNU","M",8,-13.2777777777778
2019-02-16,"011016B9B5","WBNU","M",1,-16.7222222222222
2019-02-17,"011016B9B5","WBNU","M",2,-10
2019-02-18,"011016B9B5","WBNU","M",6,-13.2777777777778
2019-02-19,"011016B9B5","WBNU","M",19,-16.1111111111111
2019-02-20,"011016B9B5","WBNU","M",13,-9.38888888888889
2019-02-21,"011016B9B5","WBNU","M",16,-18.8888888888889
2019-02-24,"011016B9B5","WBNU","M",4,-17.7777777777778
2019-02-25,"011016B9B5","WBNU","M",9,-21.7222222222222
2019-02-26,"011016B9B5","WBNU","M",10,-16.1111111111111
2019-02-27,"011016B9B5","WBNU","M",7,-15.6111111111111
2019-02-28,"011016B9B5","WBNU","M",37,-13.8888888888889
2019-03-01,"011016B9B5","WBNU","M",52,-12.7777777777778
2019-03-02,"011016B9B5","WBNU","M",25,-13.2777777777778
2019-03-03,"011016B9B5","WBNU","M",12,-21.1111111111111
2019-03-04,"011016B9B5","WBNU","M",3,-22.2222222222222
2019-03-06,"011016B9B5","WBNU","M",3,-17.2222222222222
2019-01-26,"011016BF63","WBNU","F",12,-6.72222222222222
2019-01-27,"011016BF63","WBNU","F",20,-6.72222222222222
2019-01-28,"011016BF63","WBNU","F",28,-10.6111111111111
2019-01-29,"011016BF63","WBNU","F",52,-18.8888888888889
2019-01-30,"011016BF63","WBNU","F",36,-22.2222222222222
2019-01-31,"011016BF63","WBNU","F",10,-17.7777777777778
2019-02-04,"011016BF63","WBNU","F",5,-12.2222222222222
2019-02-05,"011016BF63","WBNU","F",41,-13.2777777777778
2019-02-06,"011016BF63","WBNU","F",36,-13.2777777777778
2019-02-07,"011016BF63","WBNU","F",27,-15.6111111111111
2019-02-09,"011016BF63","WBNU","F",15,-12.2222222222222
2019-02-10,"011016BF63","WBNU","F",21,-3.27777777777778
2019-02-11,"011016BF63","WBNU","F",7,-3.27777777777778
2019-02-12,"011016BF63","WBNU","F",24,-8.27777777777778
2019-02-13,"011016BF63","WBNU","F",8,-9.38888888888889
2019-02-14,"011016BF63","WBNU","F",6,-11.7222222222222
2019-02-15,"011016BF63","WBNU","F",26,-13.2777777777778
2019-02-16,"011016BF63","WBNU","F",12,-16.7222222222222
2019-02-17,"011016BF63","WBNU","F",48,-10
2019-02-18,"011016BF63","WBNU","F",6,-13.2777777777778
2019-02-19,"011016BF63","WBNU","F",10,-16.1111111111111
2019-02-20,"011016BF63","WBNU","F",9,-9.38888888888889
2019-02-24,"011016BF63","WBNU","F",5,-17.7777777777778
2019-02-25,"011016BF63","WBNU","F",5,-21.7222222222222
2019-02-26,"011016BF63","WBNU","F",7,-16.1111111111111
2019-03-01,"011016BF63","WBNU","F",9,-12.7777777777778
2019-03-02,"011016BF63","WBNU","F",21,-13.2777777777778
2019-03-03,"011016BF63","WBNU","F",31,-21.1111111111111
2019-03-04,"011016BF63","WBNU","F",27,-22.2222222222222
2019-03-05,"011016BF63","WBNU","F",22,-13.2777777777778
2019-03-07,"011016BF63","WBNU","F",15,-3.88888888888889
2019-03-08,"011016BF63","WBNU","F",4,-11.7222222222222
2019-01-26,"011016FD8E","DOWO","M",62,-6.72222222222222
2019-01-27,"011016FD8E","DOWO","M",121,-6.72222222222222
2019-01-28,"011016FD8E","DOWO","M",16,-10.6111111111111
2019-01-29,"011016FD8E","DOWO","M",58,-18.8888888888889
2019-01-30,"011016FD8E","DOWO","M",132,-22.2222222222222
2019-01-31,"011016FD8E","DOWO","M",60,-17.7777777777778
2019-02-01,"011016FD8E","DOWO","M",33,-11.7222222222222
2019-02-02,"011016FD8E","DOWO","M",1,1.11111111111111
2019-02-03,"011016FD8E","DOWO","M",2,-1.11111111111111
2019-02-05,"011016FD8E","DOWO","M",35,-13.2777777777778
2019-02-06,"011016FD8E","DOWO","M",57,-13.2777777777778
2019-02-07,"011016FD8E","DOWO","M",4,-15.6111111111111
2019-02-09,"011016FD8E","DOWO","M",34,-12.2222222222222
2019-02-10,"011016FD8E","DOWO","M",65,-3.27777777777778
2019-02-11,"011016FD8E","DOWO","M",50,-3.27777777777778
2019-02-12,"011016FD8E","DOWO","M",52,-8.27777777777778
2019-02-13,"011016FD8E","DOWO","M",80,-9.38888888888889
2019-02-15,"011016FD8E","DOWO","M",31,-13.2777777777778
2019-02-16,"011016FD8E","DOWO","M",59,-16.7222222222222
2019-02-17,"011016FD8E","DOWO","M",12,-10
2019-02-18,"011016FD8E","DOWO","M",29,-13.2777777777778
2019-02-19,"011016FD8E","DOWO","M",64,-16.1111111111111
2019-02-20,"011016FD8E","DOWO","M",70,-9.38888888888889
2019-02-21,"011016FD8E","DOWO","M",54,-18.8888888888889
2019-02-22,"011016FD8E","DOWO","M",64,-6.72222222222222
2019-02-23,"011016FD8E","DOWO","M",15,-5
