"","RFID","Date","n","n_distinct(Logger)","H"
"1","011016B9B5",2019-01-27,20,2,0.198515243345873
"2","011016B9B5",2019-01-30,33,1,0
"3","011016B9B5",2019-01-31,28,1,0
"4","011016B9B5",2019-02-01,19,1,0
"5","011016B9B5",2019-02-09,11,1,0
"6","011016B9B5",2019-02-10,20,1,0
"7","011016B9B5",2019-02-19,19,1,0
"8","011016B9B5",2019-02-20,13,1,0
"9","011016B9B5",2019-02-21,16,1,0
"10","011016B9B5",2019-02-28,37,1,0
"11","011016B9B5",2019-03-01,52,2,0.316548971609442
"12","011016B9B5",2019-03-02,25,1,0
"13","011016B9B5",2019-03-03,12,1,0
"14","011016BF63",2019-01-25,20,1,0
"15","011016BF63",2019-01-26,12,3,0.918427784993098
"16","011016BF63",2019-01-27,20,2,0.688138813713588
"17","011016BF63",2019-01-28,28,3,0.655975732336547
"18","011016BF63",2019-01-29,52,2,0.693147180559945
"19","011016BF63",2019-01-30,36,2,0.590842246275583
"20","011016BF63",2019-02-05,41,2,0.690467808703202
"21","011016BF63",2019-02-06,36,2,0.286835983056161
"22","011016BF63",2019-02-07,27,2,0.607693423870957
"23","011016BF63",2019-02-09,15,2,0.244930026794635
"24","011016BF63",2019-02-10,21,2,0.314492201281411
"25","011016BF63",2019-02-12,24,2,0.286835983056161
"26","011016BF63",2019-02-15,26,2,0.357627159853222
"27","011016BF63",2019-02-16,12,2,0.636514168294813
"28","011016BF63",2019-02-17,48,1,0
"29","011016BF63",2019-03-02,21,2,0.486912709464602
"30","011016BF63",2019-03-03,31,1,0
"31","011016BF63",2019-03-04,27,2,0.158410570131791
"32","011016BF63",2019-03-05,22,2,0.535959889216217
"33","011016BF63",2019-03-07,15,2,0.673011667009257
"34","011016FD8E",2019-01-25,26,1,0
"35","011016FD8E",2019-01-26,62,2,0.640175902350438
"36","011016FD8E",2019-01-27,121,5,1.38716016714889
"37","011016FD8E",2019-01-28,16,1,0
"38","011016FD8E",2019-01-29,58,3,0.543498386230674
"39","011016FD8E",2019-01-30,132,4,1.03963571201603
"40","011016FD8E",2019-01-31,60,3,1.02172606130862
"41","011016FD8E",2019-02-01,33,1,0
"42","011016FD8E",2019-02-05,35,3,0.746694433054882
"43","011016FD8E",2019-02-06,57,1,0
"44","011016FD8E",2019-02-09,34,3,0.983127624158612
"45","011016FD8E",2019-02-10,65,3,0.943156702083951
"46","011016FD8E",2019-02-11,50,3,0.946913951773884
"47","011016FD8E",2019-02-12,52,2,0.540204142388861
"48","011016FD8E",2019-02-13,80,2,0.681854608730783
"49","011016FD8E",2019-02-15,31,2,0.491327448450522
"50","011016FD8E",2019-02-16,59,3,0.875323781889836
"51","011016FD8E",2019-02-17,12,2,0.562335144618808
"52","011016FD8E",2019-02-18,29,2,0.619376289741447
"53","011016FD8E",2019-02-19,64,2,0.578858643838915
"54","011016FD8E",2019-02-20,70,2,0.325082973391448
"55","011016FD8E",2019-02-21,54,2,0.659152503822991
"56","011016FD8E",2019-02-22,64,3,0.802460084994574
"57","011016FD8E",2019-02-23,15,1,0
"58","011016FD8E",2019-02-24,24,1,0
"59","011016FD8E",2019-02-25,39,2,0.652825793916348
"60","011016FD8E",2019-02-26,80,3,1.07987058793409
"61","011016FD8E",2019-02-27,59,4,1.30684409012523
