,Date,LOGGER01,LOGGER03,LOGGER05,LOGGER06,LOGGER02,LOGGER04,LOGGER07,LOGGER08
1,1/24/19,451,209,39,433,NA,NA,NA,NA
2,1/25/19,612,341,283,573,NA,NA,NA,NA
3,1/26/19,828,191,196,202,317,9,159,154
4,1/27/19,925,NA,261,NA,329,714,302,509
5,1/28/19,485,NA,423,NA,162,218,287,46
6,1/29/19,512,NA,269,402,230,509,421,235
7,1/30/19,691,NA,425,538,618,751,318,684
8,1/31/19,NA,NA,259,896,544,762,282,NA
9,2/1/19,348,267,54,716,556,391,195,NA
10,2/2/19,NA,250,NA,666,NA,51,NA,NA
11,2/3/19,NA,149,NA,652,NA,NA,NA,NA
12,2/4/19,377,117,220,335,257,249,225,14
13,2/5/19,NA,241,342,556,NA,158,339,505
14,2/6/19,NA,NA,571,985,NA,272,310,453
15,2/7/19,NA,NA,369,801,NA,121,179,100
16,2/9/19,NA,NA,334,NA,323,205,210,272
17,2/10/19,NA,NA,564,NA,234,488,394,562
18,2/11/19,NA,NA,609,288,227,167,296,394
19,2/12/19,NA,NA,275,475,452,106,222,307
20,2/13/19,NA,NA,328,507,550,NA,357,248
21,2/14/19,120,NA,215,278,222,61,154,149
22,2/15/19,562,126,588,85,367,165,386,165
23,2/16/19,142,203,268,383,430,98,355,255
24,2/17/19,NA,384,427,461,340,67,449,267
25,2/18/19,22,341,311,546,331,171,339,100
26,2/19/19,401,401,379,580,472,216,350,NA
27,2/20/19,391,308,370,15,314,229,164,71
28,2/21/19,321,NA,522,NA,NA,145,NA,490
29,2/22/19,53,303,34,106,428,NA,404,520
30,2/23/19,NA,588,NA,296,388,NA,274,649
31,2/24/19,140,655,356,NA,126,289,NA,129
32,2/25/19,36,688,1121,NA,NA,734,NA,NA
33,2/26/19,2,760,630,343,661,327,287,478
34,2/27/19,NA,616,436,873,102,572,339,314
35,2/28/19,854,539,365,NA,374,376,264,309
36,3/1/19,714,NA,337,NA,423,225,234,398
37,3/2/19,378,119,577,525,210,188,561,124
38,3/3/19,433,315,581,1129,668,NA,446,NA
39,3/4/19,NA,410,310,1049,404,32,296,416
40,3/5/19,266,NA,476,73,136,13,43,460
41,3/6/19,620,NA,449,9,385,17,261,224
42,3/7/19,448,136,444,128,86,NA,275,312
43,3/8/19,431,324,288,64,NA,NA,268,418
44,3/9/19,NA,NA,NA,NA,NA,NA,357,NA
45,3/11/19,NA,NA,NA,NA,347,NA,32,128
46,3/12/19,NA,NA,NA,NA,17,NA,NA,4
47,3/15/19,NA,NA,NA,NA,842,NA,228,329
48,3/16/19,NA,NA,NA,NA,786,NA,249,351
49,3/17/19,NA,NA,NA,NA,154,NA,22,65
