"","Date","011016B9B5","011016BF63","011016FD8E","011016FE79","01101706AD","0110170BCF","0110170F15","0110171671","011017171D","0110172D57","0110173043","0110173577","01101736BA","011017396E","0110173C26","0110173E3A","0110173FFA","01101747D3","01101748C7","0110174B57","0110175F3E","0700EDA0C9","0700EDE823","0700EDFFDB","0700EE08C5","0700EE1540","0700EE1ECE","0700EE257D","0700EE27B1","0700EE315A","0700EE3187"
"1",2019-01-27,2,2,5,1,NA,4,3,3,4,4,1,2,4,2,1,3,1,1,1,1,1,NA,1,1,1,1,2,4,3,NA,1
"2",2019-01-28,1,3,1,1,NA,2,3,1,2,1,1,2,4,NA,NA,2,2,NA,1,NA,1,NA,1,1,1,1,1,4,1,NA,1
"3",2019-01-29,2,2,3,1,NA,4,3,4,3,2,1,2,4,1,NA,3,2,1,1,2,1,1,1,NA,1,1,2,4,2,NA,1
"4",2019-01-30,1,2,4,2,1,4,3,5,5,4,1,2,4,1,NA,3,1,2,3,3,1,1,1,NA,1,1,3,4,3,NA,1
"5",2019-01-31,1,1,3,2,NA,3,2,3,4,2,1,1,3,1,2,2,1,2,3,2,NA,1,1,NA,NA,1,1,3,2,3,NA
"6",2019-02-01,1,NA,1,3,2,1,2,4,4,3,1,1,2,NA,2,1,1,3,3,3,1,1,1,NA,1,1,1,3,2,1,1
"7",2019-02-02,1,NA,1,NA,NA,NA,NA,1,3,2,1,1,NA,NA,NA,NA,NA,2,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA
"8",2019-02-04,3,1,NA,1,1,4,2,2,2,1,1,2,4,NA,NA,1,2,2,1,2,1,1,1,NA,1,1,1,4,1,3,1
"9",2019-02-05,1,2,3,NA,NA,2,3,3,2,3,1,1,3,NA,1,2,1,1,1,1,NA,1,2,NA,NA,2,NA,3,2,1,NA
"10",2019-02-06,1,2,1,1,NA,1,3,3,2,3,1,1,2,NA,NA,2,1,1,1,1,NA,1,2,NA,NA,2,NA,2,3,1,NA
