"","011016AC95","011016B1E9","011016B914","011016B9B5","011016BC8D","011016BDEC","011016BF63","011016CC59","011016CE84","011016D383","011016E2E6","011016EDC4","011016FD8E","011016FE79","01101706AD","0110170897","0110170BCF","0110170F15","01101712F8","0110171671","011017171D","0110172507","0110172D57","0110173043","0110173577","01101736BA","011017396E","0110173C26","0110173E3A","0110173FFA","01101747D3","01101748C7","0110174B57","0110175F3E","01103F6EC0","0700EDA0C9","0700EDE823","0700EDFFDB","0700EE08C5","0700EE1540","0700EE1ECE","0700EE257D","0700EE27B1","0700EE315A","0700EE3187"
"011016AC95",NA,0.635928961748634,0.626165313195709,0.645465973274556,0.635928961748634,0.605016726556243,0.700578178339648,0.537312772732634,0.611454244593242,0.680038216780798,0.63674152946261,0.571304913994993,0.734822737571638,0.569076508710885,0.794992872416251,0.638485384938727,0.878000528615283,0.789340306348503,0.592612130065466,0.873508843791833,0.497106502610537,0.761798310978639,0.680152975439861,0.635928961748634,0.622310129832779,0.567144452208967,0.711321721311475,0.503423530186319,0.777145154596389,0.907841312346243,0.575966642646971,0.654074760466488,0.576585709612868,0.635928961748634,0.637150766259912,0.669468267293807,0.652722186047699,0.61244105097687,0.633802307684362,0.547839584496439,0.59069225303623,0.576682911310362,0.728088971258857,0.640956894709528,0.637781620859358
"011016B1E9",0.635928961748634,NA,0.979070216049383,0.739145658263305,1,0.780912235192391,0.695938215102975,0.656924460431655,0.51631455399061,0.720727848101266,0.749187432286024,0.676262315270936,0.576912416851441,0.786378555798687,0.731366459627329,0.715483234714004,0.673368298368298,0.547007722007722,0.793316831683168,0.644961977186312,0.558834446919079,0.613636363636364,0.430631868131868,0.75,0.712954260651629,0.63375380600261,0.644097222222222,0.632530120481928,0.584004602991945,0.72808764940239,0.649395604395604,0.573297086581863,0.649574530516432,1,0.998778195488722,0.742897229042441,0.733206775700935,0.751883561643836,0.996455576559546,0.56656346749226,0.870755138516533,0.606582024724357,0.600332857822159,0.744972067039106,0.998147340889276
"011016B914",0.626165313195709,0.979070216049383,NA,0.730699339921154,0.979070216049383,0.759982451241774,0.716867999053592,0.635994676481037,0.537244337941228,0.722528666588529,0.7296119278587,0.655332531320319,0.597842200802059,0.774201507077829,0.712568174411472,0.694553450763387,0.694298082318916,0.567937505958339,0.772387047732551,0.636968311388067,0.579764230869697,0.634566147586981,0.422093974698141,0.729070216049383,0.733884044602246,0.654683589953227,0.665027006172839,0.651335666741038,0.604934386942562,0.713169383353231,0.628465820444987,0.59422687053248,0.629084887410885,0.979070216049383,0.977848411538105,0.721967445091824,0.719865041248414,0.76372426221884,0.975525792608929,0.587493251442877,0.89168492246715,0.627511808674974,0.621262641772776,0.724880271915304,0.977217556938659
"011016B9B5",0.645465973274556,0.739145658263305,0.730699339921154,NA,0.739145658263305,0.958233423070915,0.70399143639149,0.607401053946759,0.527168895727305,0.731582189837961,0.989958225977281,0.642316840529315,0.621857667679045,0.634112835506194,0.625761174034831,0.704628892977309,0.689855895738249,0.557862063744417,0.945828826580137,0.655816318923006,0.674584198935699,0.624490705373058,0.557603425985779,0.989145658263305,0.717372475305912,0.644608147739305,0.654951563958917,0.562059161013803,0.594858944728639,0.732470043432078,0.63854126265891,0.5843565986099,0.639160329624808,0.739145658263305,0.737923853752027,0.732042887305747,0.98916570132726,0.953680307739534,0.736546414406973,0.581287778269202,0.652610373908276,0.617436366461052,0.611187199558853,0.734303945041704,0.737292999152582
"011016BC8D",0.635928961748634,1,0.979070216049383,0.739145658263305,NA,0.780912235192391,0.695938215102975,0.656924460431655,0.51631455399061,0.720727848101266,0.749187432286024,0.676262315270936,0.576912416851441,0.786378555798687,0.731366459627329,0.715483234714004,0.673368298368298,0.547007722007722,0.793316831683168,0.644961977186312,0.558834446919079,0.613636363636364,0.430631868131868,0.75,0.712954260651629,0.63375380600261,0.644097222222222,0.632530120481928,0.584004602991945,0.72808764940239,0.649395604395604,0.573297086581863,0.649574530516432,1,0.998778195488722,0.742897229042441,0.733206775700935,0.751883561643836,0.996455576559546,0.56656346749226,0.870755138516533,0.606582024724357,0.600332857822159,0.744972067039106,0.998147340889276
"011016BDEC",0.605016726556243,0.780912235192391,0.759982451241774,0.958233423070915,0.780912235192391,NA,0.665025979910584,0.626012225239264,0.485402318798219,0.689815612908875,0.968275197093633,0.646273725398742,0.598938097401844,0.66712667720552,0.656171034364234,0.684570999521613,0.648089318809163,0.516095486815331,0.987595403509222,0.614049741993921,0.641507957829138,0.582724128443973,0.530214138433983,0.969087764807609,0.682042025459238,0.602841570810219,0.613184987029831,0.582117054469499,0.553092367799554,0.69717541421,0.618483369203214,0.542590021680814,0.618662295324041,0.780912235192391,0.779690430681113,0.71198499385005,0.952294540508544,0.970971326451445,0.778312991336058,0.540295195148166,0.672668267363973,0.575669789531966,0.569420622629768,0.714059831846715,0.779059576081667
"011016BF63",0.700578178339648,0.695938215102975,0.716867999053592,0.70399143639149,0.695938215102975,0.665025979910584,NA,0.564193610786428,0.68633878020219,0.705809421366803,0.696479926912292,0.598185752048788,0.862127195096582,0.593020344601395,0.674144600632015,0.665366222992521,0.751699800326803,0.837555993391234,0.652621383419806,0.711381176532006,0.656342639546479,0.713152693987934,0.455322566449569,0.695938215102975,0.735602593440122,0.810888949826957,0.948159007119247,0.525816078961154,0.849228643355023,0.717850565700584,0.599910478537481,0.660250204466046,0.600529545503379,0.695938215102975,0.697160019614253,0.693412103184318,0.700465084261853,0.679671091815303,0.693811561038703,0.739988558352403,0.776587260200858,0.827143674676457,0.895895016490553,0.695673160920275,0.697790874213698
"011016CC59",0.537312772732634,0.656924460431655,0.635994676481037,0.607401053946759,0.656924460431655,0.626012225239264,0.564193610786428,NA,0.577997179721012,0.83983523988988,0.617442827969477,0.939904357302336,0.461797524286557,0.790677195661414,0.53632404635298,0.873647531678799,0.544246071674129,0.415263117691175,0.613607628748486,0.576226606981661,0.545129931689392,0.538709941137999,0.684052098980157,0.618255395683453,0.583167676385208,0.502009201686063,0.512352617905675,0.681020845973823,0.452259998675398,0.596343045085844,0.943145505573563,0.765824127731053,0.94285926892289,0.656924460431655,0.655702655920376,0.86694006772835,0.601462171384388,0.602643638513846,0.658105934911806,0.55788387865559,0.529243495284202,0.47483742040781,0.468588253505612,0.843075539568345,0.655071801320931
"011016CE84",0.611454244593242,0.51631455399061,0.537244337941228,0.527168895727305,0.51631455399061,0.485402318798219,0.68633878020219,0.577997179721012,NA,0.738161939831132,0.517127121704587,0.589128593399477,0.654310322392597,0.670901521455502,0.578540081066107,0.550831319276606,0.618064173697976,0.595374046078271,0.472997722307442,0.66363580723887,0.754771427376434,0.776568501920615,0.510389903523706,0.51631455399061,0.803360293338981,0.795391392869323,0.705687597809077,0.679621302109848,0.632893428850819,0.56897807829714,0.634851674147449,0.769883601981194,0.635137910798122,0.51631455399061,0.517536358501889,0.711057111992662,0.533107778289676,0.514430992346775,0.514187899926338,0.866023125336124,0.592174224974512,0.804929851970717,0.641660973927253,0.521342486951504,0.518167213101334
"011016D383",0.680038216780798,0.720727848101266,0.722528666588529,0.731582189837961,0.720727848101266,0.689815612908875,0.705809421366803,0.83983523988988,0.738161939831132,NA,0.721540415815242,0.794393883615293,0.603115277744793,0.876621828784738,0.631861453992714,0.756096609492423,0.70441083178425,0.57014747568545,0.677411016418098,0.726226717042884,0.629614685235826,0.698874701248119,0.606708165252469,0.720727848101266,0.724548332247366,0.6583089817638,0.666252501893325,0.758187814549337,0.607666858457998,0.726400210435588,0.884363958825984,0.852569238480597,0.884983025791882,0.720727848101266,0.721949652612544,0.97289517216153,0.73309586833077,0.704157941070547,0.719453190142154,0.71727464495766,0.647662846226069,0.63500218051793,0.616434403534432,0.72660777716732,0.722580507211989
"011016E2E6",0.63674152946261,0.749187432286024,0.7296119278587,0.989958225977281,0.749187432286024,0.968275197093633,0.696479926912292,0.617442827969477,0.517127121704587,0.721540415815242,NA,0.652358614552034,0.611815893656326,0.636756153822446,0.626071366885819,0.714670667000028,0.67981412171553,0.547820289721698,0.955870600602856,0.645774544900288,0.6706343939946,0.61444893135034,0.547653227054635,0.999187432286024,0.713495972460946,0.634566373716586,0.644909789936198,0.552017386991085,0.584817170705921,0.728900217116367,0.648583036681628,0.574314824587181,0.649202103647526,0.749187432286024,0.747965627774746,0.742084661328465,0.984019343414911,0.946531745796168,0.746588188429691,0.571246004246484,0.642568599885558,0.607394592438333,0.601145425536135,0.744345719064422,0.7473347731753
"011016EDC4",0.571304913994993,0.676262315270936,0.655332531320319,0.642316840529315,0.676262315270936,0.646273725398742,0.598185752048788,0.939904357302336,0.589128593399477,0.794393883615293,0.652358614552034,NA,0.496713310869114,0.731505198283946,0.556585546512458,0.932819529056266,0.579161858256686,0.449255258953535,0.633869128907965,0.61021874824402,0.580045718271949,0.572702082400358,0.718105816597196,0.65317118226601,0.617159817647567,0.536001342948423,0.546344759168035,0.621848848596356,0.486252139937758,0.630335186348203,0.897704149298977,0.720587941747808,0.897417912648304,0.676262315270936,0.675040510759658,0.821498711453764,0.636377957966945,0.622905138673325,0.678367435071284,0.592799665238146,0.54950499544368,0.50882956167017,0.502580394767972,0.902247536945813,0.674409656160212
"011016FD8E",0.734822737571638,0.576912416851441,0.597842200802059,0.621857667679045,0.576912416851441,0.598938097401844,0.862127195096582,0.461797524286557,0.654310322392597,0.603115277744793,0.611815893656326,0.496713310869114,NA,0.527866290324928,0.716385086281693,0.544123129840766,0.762191568594008,0.855765287777483,0.586533500911067,0.745327014865872,0.627272130561962,0.685837028824834,0.561308813138081,0.61100332594235,0.634468134026863,0.713668588675882,0.873594943335797,0.541258715571822,0.852663911420472,0.707472217559915,0.499805012061109,0.64682806047201,0.500091248711783,0.576912416851441,0.578134221362719,0.576010449906323,0.627796550241416,0.627966770950399,0.57573094237129,0.675197617266069,0.704593381998894,0.740840369954135,0.836335656590258,0.563745112247974,0.578765075962165
"011016FE79",0.569076508710885,0.786378555798687,0.774201507077829,0.634112835506194,0.786378555798687,0.66712667720552,0.593020344601395,0.790677195661414,0.670901521455502,0.876621828784738,0.636756153822446,0.731505198283946,0.527866290324928,NA,0.653568710330674,0.668269500515755,0.588148995424707,0.447621300575349,0.679531273696297,0.619488088601833,0.58500229052648,0.631614282872488,0.53411552889124,0.636214442013129,0.676072018119698,0.594913543420553,0.585213803792852,0.845162927420843,0.485140683347896,0.617546721805834,0.808862625339649,0.784661994291148,0.809148861990323,0.786378555798687,0.787600360309965,0.885068063184863,0.626704086484386,0.648563067653847,0.785197081318536,0.653249927173449,0.691583167606276,0.5677417621423,0.493908228424331,0.639432437278176,0.788231214909411
"01101706AD",0.794992872416251,0.731366459627329,0.712568174411472,0.625761174034831,0.731366459627329,0.656171034364234,0.674144600632015,0.53632404635298,0.578540081066107,0.631861453992714,0.626071366885819,0.556585546512458,0.716385086281693,0.653568710330674,NA,0.598827593810871,0.716774167861124,0.775095126182083,0.668575630855011,0.891055388926938,0.47973066441644,0.801971579145492,0.524360965121835,0.625258799171843,0.617865996513022,0.56270031888921,0.706877587991718,0.596285764174711,0.81261450895463,0.736458832466108,0.554509476031215,0.627576947354917,0.554795712681888,0.731366459627329,0.732588264138607,0.63029117675466,0.636595472707571,0.648900635298789,0.734910883067783,0.52034337762565,0.701109159131656,0.572238777990605,0.774742825245213,0.630051355008848,0.733219118738053
