Date,Time_CST,Temp_F,Conditions,Temp_C,Windchill_C,Dew_Point_C,date_time
1/20/19,12:54 AM,8.1,Clear,-13.27777778,-17,-16.11111111,1/20/19 0:54
1/20/19,1:54 AM,12,Clear,-11.11111111,-16.94444444,-16.11111111,1/20/19 1:54
1/20/19,2:54 AM,12,Clear,-11.11111111,-16.27777778,-17.22222222,1/20/19 2:54
1/20/19,3:54 AM,10.9,Clear,-11.72222222,-20.05555556,-17.22222222,1/20/19 3:54
1/20/19,4:54 AM,10.9,Clear,-11.72222222,-19.22222222,-17.22222222,1/20/19 4:54
1/20/19,5:54 AM,10.9,Mostly Cloudy,-11.72222222,-19.66666667,-16.72222222,1/20/19 5:54
1/20/19,6:54 AM,10.9,Overcast,-11.72222222,-18.77777778,-16.72222222,1/20/19 6:54
1/20/19,7:54 AM,12,Overcast,-11.11111111,-19.66666667,-16.72222222,1/20/19 7:54
1/20/19,8:54 AM,12,Overcast,-11.11111111,-20,-16.11111111,1/20/19 8:54
1/20/19,9:54 AM,12.9,Overcast,-10.61111111,-17.38888889,-16.11111111,1/20/19 9:54
1/20/19,10:54 AM,15.1,Overcast,-9.388888889,-15.94444444,-15.61111111,1/20/19 10:54
1/20/19,11:05 AM,15.1,Overcast,-9.388888889,-15.44444444,-15.61111111,1/20/19 11:05
1/20/19,11:54 AM,14,Overcast,-10,-17.88888889,-15,1/20/19 11:54
1/20/19,12:54 PM,12.9,Overcast,-10.61111111,-19.33333333,-15,1/20/19 12:54
1/20/19,1:43 PM,12,Overcast,-11.11111111,-19.27777778,-15.61111111,1/20/19 13:43
1/20/19,1:54 PM,12,Overcast,-11.11111111,-18.88888889,-15.61111111,1/20/19 13:54
1/20/19,2:54 PM,12.9,Mostly Cloudy,-10.61111111,-18.27777778,-15.61111111,1/20/19 14:54
1/20/19,3:03 PM,12.9,Mostly Cloudy,-10.61111111,-18.66666667,-15,1/20/19 15:03
1/20/19,3:41 PM,14,Overcast,-10,-16.16666667,-15,1/20/19 15:41
1/20/19,3:54 PM,14,Overcast,-10,-17.11111111,-15,1/20/19 15:54
1/20/19,4:38 PM,14,Overcast,-10,-16.66666667,-14.38888889,1/20/19 16:38
1/20/19,4:54 PM,14,Overcast,-10,-16.16666667,-14.38888889,1/20/19 16:54
1/20/19,5:52 PM,12.2,Scattered Clouds,-11,-17.38888889,-14,1/20/19 17:52
1/20/19,5:54 PM,12.9,Scattered Clouds,-10.61111111,-16.33333333,-13.88888889,1/20/19 17:54
1/20/19,6:12 PM,12.9,Mostly Cloudy,-10.61111111,-16.88888889,-13.88888889,1/20/19 18:12
1/20/19,6:42 PM,12,Mostly Cloudy,-11.11111111,-18.88888889,-13.88888889,1/20/19 18:42
1/20/19,6:54 PM,12,Mostly Cloudy,-11.11111111,-18.5,-13.88888889,1/20/19 18:54
1/20/19,7:49 PM,12.2,Mostly Cloudy,-11,-19.16666667,-14,1/20/19 19:49
1/20/19,7:54 PM,12,Mostly Cloudy,-11.11111111,-19.27777778,-14.38888889,1/20/19 19:54
1/20/19,8:10 PM,12,Scattered Clouds,-11.11111111,-18.88888889,-14.38888889,1/20/19 20:10
1/20/19,8:54 PM,10.9,Partly Cloudy,-11.72222222,-19.22222222,-14.38888889,1/20/19 20:54
1/20/19,9:24 PM,10.9,Mostly Cloudy,-11.72222222,-19.66666667,-14.38888889,1/20/19 21:24
1/20/19,9:54 PM,12,Overcast,-11.11111111,-18.5,-14.38888889,1/20/19 21:54
1/20/19,10:54 PM,12,Overcast,-11.11111111,-19.66666667,-14.38888889,1/20/19 22:54
1/20/19,11:54 PM,12.9,Overcast,-10.61111111,-17.88888889,-13.88888889,1/20/19 23:54
1/21/19,12:54 AM,12.9,Overcast,-10.61111111,-19,-13.27777778,1/21/19 0:54
1/21/19,1:54 AM,12.9,Overcast,-10.61111111,-19,-13.27777778,1/21/19 1:54
1/21/19,2:54 AM,12.9,Overcast,-10.61111111,-18.27777778,-13.27777778,1/21/19 2:54
1/21/19,3:54 AM,14,Overcast,-10,-18.22222222,-12.77777778,1/21/19 3:54
1/21/19,4:54 AM,14,Overcast,-10,-17.88888889,-12.77777778,1/21/19 4:54
1/21/19,5:54 AM,14,Overcast,-10,-19.16666667,-12.77777778,1/21/19 5:54
1/21/19,6:54 AM,12.9,Overcast,-10.61111111,-18.66666667,-13.27777778,1/21/19 6:54
1/21/19,7:54 AM,12.9,Overcast,-10.61111111,-19.66666667,-13.27777778,1/21/19 7:54
1/21/19,8:54 AM,12.9,Light Snow,-10.61111111,-19.94444444,-13.27777778,1/21/19 8:54
1/21/19,9:29 AM,14,Light Snow,-10,-19.94444444,-12.77777778,1/21/19 9:29
1/21/19,9:54 AM,14,Light Snow,-10,-20.16666667,-12.22222222,1/21/19 9:54
1/21/19,10:02 AM,15.1,Light Snow,-9.388888889,-18.66666667,-12.22222222,1/21/19 10:02
1/21/19,10:54 AM,16,Light Snow,-8.888888889,-18,-11.72222222,1/21/19 10:54
1/21/19,11:54 AM,18,Overcast,-7.777777778,-15.11111111,-10.61111111,1/21/19 11:54
1/21/19,12:54 PM,19.9,Overcast,-6.722222222,-14.33333333,-9.388888889,1/21/19 12:54
1/21/19,1:54 PM,21,Overcast,-6.111111111,-13.27777778,-9.388888889,1/21/19 13:54
1/21/19,2:54 PM,21,Overcast,-6.111111111,-13.27777778,-8.888888889,1/21/19 14:54
1/21/19,3:54 PM,21,Overcast,-6.111111111,-12.27777778,-8.888888889,1/21/19 15:54
1/21/19,4:54 PM,21,Overcast,-6.111111111,-13,-8.888888889,1/21/19 16:54
1/21/19,5:41 PM,21,Overcast,-6.111111111,-13.83333333,-8.888888889,1/21/19 17:41
1/21/19,5:54 PM,21.9,Overcast,-5.611111111,-12.66666667,-8.277777778,1/21/19 17:54
1/21/19,6:41 PM,23,Overcast,-5,-11.88888889,-7.777777778,1/21/19 18:41
1/21/19,6:54 PM,23,Overcast,-5,-12.16666667,-7.777777778,1/21/19 18:54
1/21/19,7:54 PM,23,Overcast,-5,-12.16666667,-8.277777778,1/21/19 19:54
